Image,Face_Index,Gate Decision,BASE_Name,BASE_Conf,BASE_Time(ms),GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
1.jpg,"(437, 505, 857, 925)",motion_blur,yoav,0.9995,43.31,yoav,0.9988,53.04,-0.06,9.74
123.jpg,"(611, 1441, 1073, 1903)",motion_blur,other,0.6397,40.13,omer,0.9625,51.31,32.27,11.18
2 (2).jpg,"(437, 506, 859, 928)",motion_blur,yoav,0.9999,53.65,yoav,0.9999,96.52,0.00,42.87
2.jpg,"(610, 1437, 1074, 1901)",normal,yoav,0.9983,46.51,yoav,0.9983,50.02,0.00,3.51
22.jpg,"(607, 1431, 1077, 1901)",normal,yoav,0.9841,37.28,yoav,0.9841,49.33,0.00,12.05
3 (2).jpg,"(438, 506, 858, 926)",motion_blur,yoav,1.0000,37.00,yoav,1.0000,48.52,0.00,11.52
3.jpg,"(414, 620, 1702, 1908)",normal,yoav,0.9999,47.25,yoav,0.9999,58.14,0.00,10.89
4.jpg,"(3305, 945, 3539, 1179)",normal,yoav,0.5830,37.00,yoav,0.5830,49.77,0.00,12.77
5.jpg,"(2715, 1103, 2955, 1343)",normal,yoav,0.9974,36.72,yoav,0.9974,47.73,0.00,11.02
IMG_1567 (1).JPG,"(613, 1441, 1071, 1899)",motion_blur,yoav,0.4667,39.51,yoav,0.5468,50.09,8.01,10.58
IMG_1567.JPG,"(612, 1441, 1072, 1901)",motion_blur,other,0.5214,37.91,omer,0.8646,51.24,34.31,13.33
IMG_6962.JPG,"(493, 1077, 1651, 2235)",normal,omer,1.0000,47.46,omer,1.0000,53.66,0.00,6.20
IMG_7037 (1).JPG,"(867, 825, 1795, 1753)",normal,omer,1.0000,41.13,omer,1.0000,53.41,0.00,12.28
IMG_7037.JPG,"(981, 1043, 1897, 1959)",normal,omer,1.0000,42.38,omer,1.0000,51.98,0.00,9.60
nosie1.jpg,"(610, 1436, 1074, 1900)",normal,yoav,0.9440,38.63,yoav,0.9440,49.95,0.00,11.32
nosie2.jpg,"(614, 1441, 1070, 1897)",low_light,omer,0.5628,38.18,omer,0.9968,415.28,43.40,377.10
nosie3.jpg,"(617, 1447, 1067, 1897)",low_light,omer,0.9100,38.23,omer,0.9993,276.21,8.93,237.98
